electionyear;ideology;spec_eu;policy;party_char;nationalism
2016;3,99;1,82;5,93;6,84;5,36
2016;3,58;4,37;4,66;1,79;4,57
2016;5,32;5,62;3,78;1,86;3,52
2016;5,85;5,5;7,08;1,49;7,58
2016;4,65;4,46;5,41;2,55;5,55
2016;6,15;5,55;4,08;1,85;3,86
2016;4,26;6,13;1,93;1,66;1,22
2017;6,29;5,29;6,06;4,1;5
2017;6,29;4,86;4,43;3,05;2,71
2018;5,75;6,5;4,88;1,33;5
2018;7,5;5,75;7;4,33;7,5
2018;5,25;5,75;5,75;4,67;6
2018;4,5;6,5;3,62;2;4
2018;5,5;6,75;4;1,17;4,5
2018;4;6,5;3,62;1,33;4,5
2018;1,5;5,25;2,38;3,83;2,5
2016;4,5;3,5;4,88;3,67;4
2016;7,75;6;6,5;2,67;5,5
2016;7;3,5;7,62;5,33;6,5
2016;4,5;4;5,75;3,67;4,5
2016;4,25;3,5;4,25;4;4
2016;5,75;4,5;5,62;3,17;5,5
2016;8,75;3;9,62;7,17;10
2016;2,75;4;2,5;3,83;2,5
2024;2,5;4,25;2,47;2,8;3,75
2024;4,2;4,75;3,27;3,06;3,75
2024;2,44;5,25;1,63;3,07;1,75
2024;2,6;5,25;1,71;3,11;1,75
2024;7,72;6;4,81;3,96;4
2024;6,67;6,25;3,41;2,67;2,75
2024;5,44;5,75;4,5;3,12;4,67
2024;5,65;5,75;4,84;2,28;5,25
2024;7,5;5;5,71;4,28;7,5
2024;5,75;5,5;3,08;3,17;3
2024;8,1;2,25;8,24;8,46;9,25
2024;0,8;1,75;2,49;5,74;4,75
2022;4,05;4,67;4,96;4,44;7
2022;5,23;6,12;2,39;1,89;2
2022;7;5,29;5,59;3,25;7,33
2022;2,73;4,46;3,09;3,25;5,5
2022;6,59;5,5;5,19;3,83;6,67
2022;1,32;2,17;1,96;3,58;3,5
2022;6,77;2,17;7,25;7,33;8,83
2022;8,09;4,79;4,82;4,39;5,17
2022;2,18;3,88;1,88;3,72;2
2022;8,36;2,83;7,41;7,78;8,83
2022;5,59;5,67;4,63;2,75;4,67
2022;7,14;2,88;6,82;7,42;8,83
2021;6,58;5,17;5,93;3,38;5,86
2021;3,47;5,12;3,51;2,24;3,29
2021;6,82;5,42;3,89;3,26;2,71
2021;3,21;5,7;1,73;3,11;1,29
2021;1,39;2,61;1,94;4,74;1,71
2021;7,17;4,08;6,51;4,54;6,5
2021;8,45;1,8;8,69;8,92;9,57
2021;3,2;1,99;6,36;7,79;6,86
2021;6,6;3,88;6,64;6,41;6,67
2023;4,25;5,75;3,74;2,67;3,43
2023;7,15;5,75;5,69;1,42;5,86
2023;3,1;4,25;1,74;5,17;3,14
2023;0,45;1,5;4,94;5,25;6,57
2023;7,7;2,25;9,41;8,56;9,57
2023;7,43;2,25;9,6;7,06;9,71
2023;2,78;2;2,14;6,78;5
2023;8,72;2,75;9,61;6,89;9,83
2023;7,58;1,5;9,53;9,08;9,71
2023;3,88;5,6;2,55;1,88;4,12
2023;7,22;4,5;5,98;2,37;6,38
2023;1,67;3,1;2,05;3,86;2,25
2023;6,16;5,8;4,23;2,83;5,71
2023;3,13;5,3;2,59;3,86;5,14
2023;2,71;4,2;2,45;3,55;4,86
2023;5,93;5,6;4,61;3,62;5,4
2023;2,44;4,6;2,42;3,65;5
2023;1,59;3,1;1,38;5,25;2,38
2023;9,19;2,6;8,85;7,13;9,62
2023;6,47;5,4;4,94;5,02;6,57
2023;2,29;4,1;1,59;4,42;2,12
2023;8,68;2;8,14;8,51;9
2023;7,35;5,6;5,68;2,98;7,14
2024;1,5;2,75;2,81;4,72;3,25
2024;3,41;5;2,44;3,25;2,75
2024;2,3;4,25;1,18;3,61;0,67
2024;7,77;4;7,35;5,17;8,33
2024;7,41;1,5;8,23;8,58;10
2024;5,53;5,38;4,31;2,39;3,33
2024;6,23;5,5;4,11;2,99;4
2024;0,86;2,88;1,33;4,97;3
2024;9,03;2,25;9,46;8,31;10
2024;6,7;5,88;5,24;2,72;5
2024;5,27;4,67;4,28;2,33;5,33
2024;6,15;5,21;3,79;1,97;4,83
2024;3,46;3,75;2,58;3,07;3,5
2024;3,62;3,71;2,47;3,29;2,67
2024;2,58;2,25;3,96;4,58;6,83
2024;1;2,04;1,66;5,64;2,5
2024;2,81;2,92;2,38;4,5;3
2024;5,67;2,17;7,21;5,51;7,33
2022;7,73;2,43;8,78;7,85;9,12
2022;7,07;5,6;6,39;4,25;6,62
2022;4,96;5,25;4,33;1,71;5,75
2022;4,8;6,67;1,42;2;0,5
2022;2,93;6,03;1,2;2,18;1,5
2022;1,31;3,38;0,65;3,19;0,86
2022;7,43;3,68;8,81;7,1;9,5
2022;3,1;3,2;3,72;5,43;4,38
2022;4,82;6,2;2,86;1,59;2,5
2022;2,18;3,6;1,07;2,53;0,88
2023;5,75;5,5;5,32;1,89;5,33
2023;2,96;5,58;2;1,44;3,67
2023;7,67;5,88;5,43;3,32;5,67
2023;5,08;6,5;1,73;1,63;4
2023;2,5;5,58;1,29;1,59;4,33
2023;7,6;2,58;9,12;2,43;5,67
2023;1,25;2,62;4,11;3,73;4,33
2023;4,46;4,25;4,95;1,69;3,67
2023;7,71;1,17;7,57;7,97;6
2023;1,89;2,75;1,8;2,38;2,33
